customer_id,customer_name,email,phone,city,state,country,customer_segment,registration_date,last_login,updated_date
CUST00001,Sarah Davis,sarah.davis@yahoo.com,+85-9111-816301,Sydney,LN,ES,Standard,2024-11-18,2025-11-08 14:45:23,2025-11-09 14:45:23
CUST00002,James Wilson,james.wilson@yahoo.com,+34-7954-741549,New York,NY,CA,Premium,2024-04-25,2025-11-11 14:45:23,2025-11-08 14:45:23
CUST00003,Emily Anderson,emily.anderson@yahoo.com,+35-3329-235851,Paris,IDF,SE,Basic,2024-06-13,2025-11-07 14:45:23,2025-11-10 14:45:23
CUST00004,James Johnson,james.johnson@yahoo.com,+57-8136-280222,Paris,MH,UK,Standard,2024-07-12,2025-11-07 14:45:23,2025-11-13 14:45:23
CUST00005,Michael Johnson,michael.johnson@email.com,+62-3589-761518,Sydney,BE,AU,Standard,2024-04-06,2025-11-05 14:45:23,2025-11-09 14:45:23
CUST00006,Sarah Wilson,sarah.wilson@gmail.com,+8-2034-630847,New York,LN,MX,Standard,2024-06-17,2025-11-12 14:45:23,2025-11-13 14:45:23
CUST00007,Robert Thomas,robert.thomas@yahoo.com,+89-3596-603477,New York,TK,ES,Basic,2024-04-14,2025-11-13 14:45:23,2025-11-13 14:45:23
CUST00008,Linda Davis,linda.davis@yahoo.com,+40-2818-407480,New York,LN,CN,Standard,2024-08-14,2025-11-07 14:45:23,2025-11-13 14:45:23
CUST00009,Sarah Taylor,sarah.taylor@company.com,+30-2442-916618,Paris,NY,FR,Standard,2024-05-16,2025-11-12 14:45:23,2025-11-12 14:45:23
CUST00010,Sarah Wilson,sarah.wilson@email.com,+34-2991-161658,New York,LN,CN,Basic,2024-01-06,2025-11-07 14:45:23,2025-11-12 14:45:23
CUST00011,Jessica Jackson,jessica.jackson@yahoo.com,+36-8693-662287,Mumbai,BE,IT,Premium,2024-02-15,2025-11-08 14:45:23,2025-11-10 14:45:23
CUST00012,Linda Wilson,linda.wilson@gmail.com,+3-2525-970710,New York,NSW,FR,Standard,2024-07-01,2025-11-13 14:45:23,2025-11-10 14:45:23
CUST00013,Patricia Davis,patricia.davis@yahoo.com,+64-3432-456408,Toronto,LN,CA,Standard,2024-03-18,2025-11-05 14:45:23,2025-11-13 14:45:23
CUST00014,Robert Anderson,robert.anderson@gmail.com,+60-5791-360924,London,LN,BR,Standard,2024-04-08,2025-11-07 14:45:23,2025-11-12 14:45:23
CUST00015,Emily Smith,emily.smith@yahoo.com,+20-2169-250755,New York,BE,AU,Basic,2024-12-24,2025-11-10 14:45:23,2025-11-10 14:45:23
CUST00016,Robert Davis,robert.davis@yahoo.com,+30-9888-734747,Paris,ON,CN,Standard,2024-05-02,2025-11-09 14:45:23,2025-11-11 14:45:23
CUST00017,John Johnson,john.johnson@yahoo.com,+50-5533-641924,London,MH,CN,Standard,2024-06-04,2025-11-13 14:45:23,2025-11-11 14:45:23
CUST00018,Emily Johnson,emily.johnson@email.com,+15-9084-225541,London,LN,DE,Premium,2024-11-21,2025-11-13 14:45:23,2025-11-09 14:45:23
CUST00019,Sarah Anderson,sarah.anderson@yahoo.com,+45-7950-316395,Toronto,TK,UK,Standard,2024-09-25,2025-11-03 14:45:23,2025-11-12 14:45:23
CUST00020,Patricia Anderson,patricia.anderson@company.com,+62-3511-920729,London,NSW,NL,Standard,2024-01-22,2025-11-12 14:45:23,2025-11-11 14:45:23
CUST00021,Michael Thomas,michael.thomas@email.com,+45-7862-765154,Toronto,TK,DE,Basic,2024-10-09,2025-11-06 14:45:23,2025-11-08 14:45:23
CUST00022,Robert Smith,robert.smith@yahoo.com,+44-7029-606559,London,NSW,DE,Premium,2024-06-19,2025-11-13 14:45:23,2025-11-12 14:45:23
CUST00023,Patricia Jackson,patricia.jackson@yahoo.com,+52-6448-656724,Paris,NSW,IT,Standard,2024-02-06,2025-11-03 14:45:23,2025-11-09 14:45:23
